chart_week,song_name,artist_name,spotify_url,cover_image
2000-07-29,It's Gonna Be Me,*NSYNC,https://open.spotify.com/track/2AW37v0bDyuOzGP3XnmFuA,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909
2000-01-22,What a Girl Wants - ft. Sabrina Carpenter - Live - Spotify Anniversaries Version,Christina Aguilera,https://open.spotify.com/track/3U7M2pRGnFk41lVf6bF2fH,https://i.scdn.co/image/ab67616d0000b273ec52118faafdbd41b13d0450
2000-11-25,Independent Women Part 1,The Hit Crew,https://open.spotify.com/track/0J2Wgm8zu6y5qKOFgYjv9H,https://i.scdn.co/image/ab67616d0000b273e38fb1bbda253024d368e534
2001-02-24,Stutter (feat. Mystikal) - Double Take Remix,Joe,https://open.spotify.com/track/7C5XOHS3FXH8PWbAB9WdWS,https://i.scdn.co/image/ab67616d0000b273aaf1ddfbf224888ca1399f15
2001-07-28,U Remind Me,USHER,https://open.spotify.com/track/2QsZVnbWVSjKMXK6K3uRBL,https://i.scdn.co/image/ab67616d0000b2737750146aac26aade0a867913
2001-06-30,Lady Marmalade - Single Edit,Various Artists,https://open.spotify.com/track/0PSZ9G584Ve27GK6ThlY6P,https://i.scdn.co/image/ab67616d0000b2733265458c5b7bc115c5054c96
2002-03-30,Ain't It Funny (feat. Ja Rule & Cadillac Tah) - Murder Remix,Jennifer Lopez,https://open.spotify.com/track/5ahFyKndeg1hqfmNumL3WF,https://i.scdn.co/image/ab67616d0000b2736704e1c8e75f2e0fe21d8fdb
2002-04-27,Foolish,Ashanti,https://open.spotify.com/track/6zMUIb4uce1CzpbjR3vMdN,https://i.scdn.co/image/ab67616d0000b2730ce7276f98d22a40865d9f0a
2002-08-10,Hot In Herre,Nelly,https://open.spotify.com/track/04KTF78FFg8sOHC1BADqbY,https://i.scdn.co/image/ab67616d0000b273a8b9f97b9ea065b9a857e93f
2003-03-29,In Da Club,50 Cent,https://open.spotify.com/track/4RY96Asd9IefaL3X4LOLZ8,https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf
2003-07-05,This Is The Night,Clay Aiken,https://open.spotify.com/track/2xnVdRMaQBkRfZyefKC2ec,https://i.scdn.co/image/ab67616d0000b273c820cf752cb1d44d0c0f95a9
2003-06-28,This Is The Night,Clay Aiken,https://open.spotify.com/track/2xnVdRMaQBkRfZyefKC2ec,https://i.scdn.co/image/ab67616d0000b273c820cf752cb1d44d0c0f95a9
2004-08-28,Lean Back,Terror Squad,https://open.spotify.com/track/2Ozc0me9PV5vlt8cokwdvI,https://i.scdn.co/image/ab67616d0000b2732e49046fecfba5be6bc7b92a
2004-01-24,Hey Ya!,Outkast,https://open.spotify.com/track/2PpruBYCo4H7WOBJ7Q2EwM,https://i.scdn.co/image/ab67616d0000b2736e88eb6508fd94cd1b745ce2
2004-07-31,Confessions Part II,USHER,https://open.spotify.com/track/7wBThXx7BGZHJJ3aN3OPvv,https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da
2005-01-22,Let Me Love You,Mario,https://open.spotify.com/track/3ibKnFDaa3GhpPGlOUj7ff,https://i.scdn.co/image/ab67616d0000b273c42212db6d665fab0c51d495
2005-01-08,Let Me Love You,Mario,https://open.spotify.com/track/3ibKnFDaa3GhpPGlOUj7ff,https://i.scdn.co/image/ab67616d0000b273c42212db6d665fab0c51d495
2005-04-16,Candy Shop,50 Cent,https://open.spotify.com/track/5D2mYZuzcgjpchVY1pmTPh,https://i.scdn.co/image/ab67616d0000b27391f7222996c531b981e7bb3d
2006-03-18,So Sick,Ne-Yo,https://open.spotify.com/track/6brl7bwOHmGFkNw3MBqssT,https://i.scdn.co/image/ab67616d0000b273987a1825341694ec9bc62457
2006-09-02,London Bridge,Fergie,https://open.spotify.com/track/7jRoWfRlLnGYEIEn4t4kbq,https://i.scdn.co/image/ab67616d0000b2730283b8c1365d34315f5807bf
2006-05-13,SOS,Rihanna,https://open.spotify.com/track/30cSNer6TV8x2utjULVeQ5,https://i.scdn.co/image/ab67616d0000b273d744a51e193d52170070062b
2007-09-08,Big Girls Don't Cry (Personal),Fergie,https://open.spotify.com/track/4AniPkv5vgdE1n6VKreiyI,https://i.scdn.co/image/ab67616d0000b2730283b8c1365d34315f5807bf
2007-09-29,Stronger,Kanye West,https://open.spotify.com/track/0j2T0R9dR9qdJYsB7ciXhf,https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a
2007-05-12,Makes Me Wonder,Maroon 5,https://open.spotify.com/track/1lHXlGlve5Zx8tXLhyjDwM,https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538
2008-11-15,Live Your Life (Karaoke / Instrumental),DJ Cover This,https://open.spotify.com/track/1Mfw0f44fhLSMG9RlYaOeM,https://i.scdn.co/image/ab67616d0000b273f5018a46f3822fdc91948dd0
2008-01-26,Low(As Made Famous By Flo Rida Featuring T-Pain),The Karaoke Crew,https://open.spotify.com/track/0ofCs0lIDRZgVnmxvT8HLp,https://i.scdn.co/image/ab67616d0000b2732cc6405bbb136f57666883db
2008-08-30,Disturbia,Rihanna,https://open.spotify.com/track/2VOomzT6VavJOGBeySqaMc,https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98
2009-12-12,Empire State Of Mind,JAY-Z,https://open.spotify.com/track/2igwFfvr1OAGX9SKDCPBwO,https://i.scdn.co/image/ab67616d0000b273fec1b815bb3c50a64a90fd10
2009-06-20,Boom Boom Pow,Black Eyed Peas,https://open.spotify.com/track/3opVsyWVYEAFK9bJAG8Opa,https://i.scdn.co/image/ab67616d0000b273382514f0114ba8f4a16d5db4
2009-07-18,I Gotta Feeling,Black Eyed Peas,https://open.spotify.com/track/2H1047e0oMSj10dgp7p2VG,https://i.scdn.co/image/ab67616d0000b273382514f0114ba8f4a16d5db4
2010-03-13,Imma Be,Black Eyed Peas,https://open.spotify.com/track/0oJMv049q8hEkes9w0L1J4,https://i.scdn.co/image/ab67616d0000b273382514f0114ba8f4a16d5db4
2010-12-11,Raise Your Glass,P!nk,https://open.spotify.com/track/1gv4xPanImH17bKZ9rOveR,https://i.scdn.co/image/ab67616d0000b2736f3451faa271fbe470685f34
2010-03-27,Rude Boy,Rihanna,https://open.spotify.com/track/60jzFy6Nn4M0iD1d94oteF,https://i.scdn.co/image/ab67616d0000b273ab647295c0c97446c1f1a3b5
2011-11-12,We Found Love,Rihanna,https://open.spotify.com/track/6qn9YLKt13AGvpq9jfO8py,https://i.scdn.co/image/ab67616d0000b273bef074de9ca825bddaeb9f46
2011-09-10,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,https://open.spotify.com/track/7LcfRTgAVTs5pQGEQgUEzN,https://i.scdn.co/image/ab67616d0000b273ce70cb2d7063cf869f9f1239
2011-03-19,Born This Way,Lady Gaga,https://open.spotify.com/track/6r2BECwMgEoRb5yLfp0Hca,https://i.scdn.co/image/ab67616d0000b273a47c0e156ea3cebe37fdcab8
2012-09-08,We Are Never Ever Getting Back Together,Taylor Swift,https://open.spotify.com/track/7AEAGTc8cReDqcbPoY9gwo,https://i.scdn.co/image/ab67616d0000b27396384c98ac4f3e7c2440f5b5
2012-10-06,One More Night,Maroon 5,https://open.spotify.com/track/4XNrMwGx1SqP01sqkGTDmo,https://i.scdn.co/image/ab67616d0000b273ce7d499847da02a9cbd1c084
2012-06-30,Call Me Maybe,Carly Rae Jepsen,https://open.spotify.com/track/3TGRqZ0a2l1LRblBkJoaDx,https://i.scdn.co/image/ab67616d0000b273a111f7769013f1731e9c697c
2013-11-16,Royals,Lorde,https://open.spotify.com/track/4SDWMFvYJKtK1QPhIOeZhd,https://i.scdn.co/image/ab67616d0000b273244fb8bb9594476ab5cb39b9
2013-10-26,Royals,Lorde,https://open.spotify.com/track/4SDWMFvYJKtK1QPhIOeZhd,https://i.scdn.co/image/ab67616d0000b273244fb8bb9594476ab5cb39b9
2013-01-19,Locked out of Heaven,Bruno Mars,https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46
2014-01-11,The Monster (Originally Performed by Eminem & Rihanna) [Karaoke Version],The Hip Hop Nation,https://open.spotify.com/track/34XS9dsi2pnGcyJ87JNT8f,https://i.scdn.co/image/ab67616d0000b2739e5496ce21945e257f78577e
2014-06-07,Fancy,Iggy Azalea,https://open.spotify.com/track/3oiMJQAWVaxSubJ7b2VUtX,https://i.scdn.co/image/ab67616d0000b273b1c6cf12c9fb4f9014b711ba
2014-05-10,"Happy - From ""Despicable Me 2""",Pharrell Williams,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH,https://i.scdn.co/image/ab67616d0000b273e8107e6d9214baa81bb79bba
2015-08-22,Can't Feel My Face,The Weeknd,https://open.spotify.com/track/22VdIZQfgXJea34mQxlt81,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b
2015-11-14,Hello,Adele,https://open.spotify.com/track/62PaSfnXSMyLshYJrlTuL3,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2
2015-11-28,Hello,Adele,https://open.spotify.com/track/62PaSfnXSMyLshYJrlTuL3,https://i.scdn.co/image/ab67616d0000b27347ce408fb4926d69da6713c2
2016-08-27,Cheap Thrills - Karaoke Instrumental Reprise Sia Feat. Sean Paul,Sandro Martinez Featuring Sandra,https://open.spotify.com/track/3jJ87Vmc2crgFweesjENrq,https://i.scdn.co/image/ab67616d0000b2733c0e95d6bc49970584b8e4ef
2016-11-26,Black Beatles,Rae Sremmurd,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,https://i.scdn.co/image/ab67616d0000b273881fb62d913fe712fc2e1c95
2016-04-09,Work,Rihanna,https://open.spotify.com/track/72TFWvU3wUYdUuxejTTIzt,https://i.scdn.co/image/ab67616d0000b27333c6b920eabcf4c00d7a1093
2017-12-16,rockstar (feat. 21 Savage),Post Malone,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268
2017-05-06,HUMBLE.,Kendrick Lamar,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699
2017-11-04,rockstar (feat. 21 Savage),Post Malone,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268
2018-02-10,God's Plan,Drake,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5
2018-12-08,SICKO MODE,Travis Scott,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3
2018-03-31,God's Plan,Drake,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5
2019-06-29,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,https://i.scdn.co/image/ab67616d0000b2736239187793c9e492e687db01
2019-08-03,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,https://i.scdn.co/image/ab67616d0000b2736239187793c9e492e687db01
2019-11-30,Circles,Post Malone,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02
2020-10-03,Dynamite,BTS,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
2020-06-06,Rain On Me (with Ariana Grande),Lady Gaga,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,https://i.scdn.co/image/ab67616d0000b2736040effba89b9b00a6f6743a
2020-09-19,WAP (feat. Megan Thee Stallion),Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,https://i.scdn.co/image/ab67616d0000b273c450c89d3eb750d3535b0a0c
2021-04-24,RAPSTAR,Polo G,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg,https://i.scdn.co/image/ab67616d0000b273a493e05c99d8ec5e8020ff2b
2021-12-25,All I Want for Christmas Is You,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f
2021-03-13,drivers license,Olivia Rodrigo,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
2022-12-03,Anti-Hero,Taylor Swift,https://open.spotify.com/track/0V3wPSX9ygBnCm8psDIegu,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
2022-06-18,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
2022-04-16,As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
2023-10-21,First Person Shooter (feat. J. Cole),Drake,https://open.spotify.com/track/7aqfrAY2p9BUSiupwk3svU,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1
2023-01-07,All I Want for Christmas Is You,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f
2023-02-11,Flowers,Miley Cyrus,https://open.spotify.com/track/7DSAEUvxU8FajXtRloy8M0,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5
2024-07-20,Not Like Us,Kendrick Lamar,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad
2024-10-05,A Bar Song (Tipsy),Shaboozey,https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,https://i.scdn.co/image/ab67616d0000b27380d86d636244b72a3a1eede2
2024-03-02,TEXAS HOLD 'EM,Beyoncé,https://open.spotify.com/track/7wLShogStyDeZvL0a6daN5,https://i.scdn.co/image/ab67616d0000b2731572698fff8a1db257a53599
