year,list_position,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,name,duration_ms,release_date,album_type,explicit
2008-07-05,1,005lwxGU1tms6HGELIcUv9,0.702,0.76,5.0,-3.174,1.0,0.0684,0.00226,0.0,0.132,0.696,129.996,4.0,I Kissed A Girl,179640,2008-06-17,album,False
2008-07-12,1,005lwxGU1tms6HGELIcUv9,0.702,0.76,5.0,-3.174,1.0,0.0684,0.00226,0.0,0.132,0.696,129.996,4.0,I Kissed A Girl,179640,2008-06-17,album,False
2008-07-19,1,005lwxGU1tms6HGELIcUv9,0.702,0.76,5.0,-3.174,1.0,0.0684,0.00226,0.0,0.132,0.696,129.996,4.0,I Kissed A Girl,179640,2008-06-17,album,False
2008-07-26,1,005lwxGU1tms6HGELIcUv9,0.702,0.76,5.0,-3.174,1.0,0.0684,0.00226,0.0,0.132,0.696,129.996,4.0,I Kissed A Girl,179640,2008-06-17,album,False
2008-08-02,1,005lwxGU1tms6HGELIcUv9,0.702,0.76,5.0,-3.174,1.0,0.0684,0.00226,0.0,0.132,0.696,129.996,4.0,I Kissed A Girl,179640,2008-06-17,album,False
2008-08-09,1,005lwxGU1tms6HGELIcUv9,0.702,0.76,5.0,-3.174,1.0,0.0684,0.00226,0.0,0.132,0.696,129.996,4.0,I Kissed A Girl,179640,2008-06-17,album,False
2008-08-16,1,005lwxGU1tms6HGELIcUv9,0.702,0.76,5.0,-3.174,1.0,0.0684,0.00226,0.0,0.132,0.696,129.996,4.0,I Kissed A Girl,179640,2008-06-17,album,False
2013-03-02,1,01XFgRZfZI7oBagNf1Loml,0.452,0.794,0.0,-5.151,1.0,0.0483,0.0111,0.00182,0.416,0.282,137.825,4.0,Harlem Shake,196664,2013-02-12,single,False
2013-03-09,1,01XFgRZfZI7oBagNf1Loml,0.452,0.794,0.0,-5.151,1.0,0.0483,0.0111,0.00182,0.416,0.282,137.825,4.0,Harlem Shake,196664,2013-02-12,single,False
2013-03-16,1,01XFgRZfZI7oBagNf1Loml,0.452,0.794,0.0,-5.151,1.0,0.0483,0.0111,0.00182,0.416,0.282,137.825,4.0,Harlem Shake,196664,2013-02-12,single,False
2013-03-23,1,01XFgRZfZI7oBagNf1Loml,0.452,0.794,0.0,-5.151,1.0,0.0483,0.0111,0.00182,0.416,0.282,137.825,4.0,Harlem Shake,196664,2013-02-12,single,False
2013-03-30,1,01XFgRZfZI7oBagNf1Loml,0.452,0.794,0.0,-5.151,1.0,0.0483,0.0111,0.00182,0.416,0.282,137.825,4.0,Harlem Shake,196664,2013-02-12,single,False
2002-06-29,1,04KTF78FFg8sOHC1BADqbY,0.956,0.741,11.0,-4.753,0.0,0.124,0.204,0.0,0.0615,0.911,107.075,4.0,Hot In Herre,228240,2002-06-25,album,True
2002-07-06,1,04KTF78FFg8sOHC1BADqbY,0.956,0.741,11.0,-4.753,0.0,0.124,0.204,0.0,0.0615,0.911,107.075,4.0,Hot In Herre,228240,2002-06-25,album,True
2002-07-13,1,04KTF78FFg8sOHC1BADqbY,0.956,0.741,11.0,-4.753,0.0,0.124,0.204,0.0,0.0615,0.911,107.075,4.0,Hot In Herre,228240,2002-06-25,album,True
2002-07-20,1,04KTF78FFg8sOHC1BADqbY,0.956,0.741,11.0,-4.753,0.0,0.124,0.204,0.0,0.0615,0.911,107.075,4.0,Hot In Herre,228240,2002-06-25,album,True
2002-07-27,1,04KTF78FFg8sOHC1BADqbY,0.956,0.741,11.0,-4.753,0.0,0.124,0.204,0.0,0.0615,0.911,107.075,4.0,Hot In Herre,228240,2002-06-25,album,True
2002-08-03,1,04KTF78FFg8sOHC1BADqbY,0.956,0.741,11.0,-4.753,0.0,0.124,0.204,0.0,0.0615,0.911,107.075,4.0,Hot In Herre,228240,2002-06-25,album,True
2002-08-10,1,04KTF78FFg8sOHC1BADqbY,0.956,0.741,11.0,-4.753,0.0,0.124,0.204,0.0,0.0615,0.911,107.075,4.0,Hot In Herre,228240,2002-06-25,album,True
2016-01-23,1,09CtPGIpYB4BrO8qb1RGsF,0.655,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.409,99.947,4.0,Sorry,200786,2015-11-13,album,False
2016-01-30,1,09CtPGIpYB4BrO8qb1RGsF,0.655,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.409,99.947,4.0,Sorry,200786,2015-11-13,album,False
2016-02-06,1,09CtPGIpYB4BrO8qb1RGsF,0.655,0.76,0.0,-3.669,0.0,0.045,0.0797,0.0,0.299,0.409,99.947,4.0,Sorry,200786,2015-11-13,album,False
2007-03-10,1,0AA6zq5ArZ1sSH7VIMi4NK,0.621,0.6,8.0,-6.349,1.0,0.576,0.277,0.0,0.495,0.485,80.021,4.0,This Is Why I'm Hot,253706,2007-01-01,album,True
2007-03-17,1,0AA6zq5ArZ1sSH7VIMi4NK,0.621,0.6,8.0,-6.349,1.0,0.576,0.277,0.0,0.495,0.485,80.021,4.0,This Is Why I'm Hot,253706,2007-01-01,album,True
2006-12-02,1,0CXVjQI9wsqaGeIARkkpYc,0.866,0.454,0.0,-9.383,1.0,0.0414,0.0373,1.49e-06,0.275,0.368,99.982,4.0,I Wanna Love You,247066,2006-01-01,album,True
2006-12-09,1,0CXVjQI9wsqaGeIARkkpYc,0.866,0.454,0.0,-9.383,1.0,0.0414,0.0373,1.49e-06,0.275,0.368,99.982,4.0,I Wanna Love You,247066,2006-01-01,album,True
2010-01-02,1,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,4.0,TiK ToK,199693,2010-01-01,album,False
2010-01-09,1,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,4.0,TiK ToK,199693,2010-01-01,album,False
2010-01-16,1,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,4.0,TiK ToK,199693,2010-01-01,album,False
2010-01-23,1,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,4.0,TiK ToK,199693,2010-01-01,album,False
2010-01-30,1,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,4.0,TiK ToK,199693,2010-01-01,album,False
2010-02-06,1,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,4.0,TiK ToK,199693,2010-01-01,album,False
2010-02-13,1,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,4.0,TiK ToK,199693,2010-01-01,album,False
2010-02-20,1,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,4.0,TiK ToK,199693,2010-01-01,album,False
2010-02-27,1,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,4.0,TiK ToK,199693,2010-01-01,album,False
2001-02-17,1,0I3q5fE6wg7LIfHGngUTnV,0.843,0.806,4.0,-5.946,0.0,0.269,0.143,0.0,0.0771,0.613,94.948,4.0,Ms. Jackson,270506,2000-10-31,album,True
2011-07-16,1,0IkKz2J93C94Ei4BvDop7P,0.75,0.727,5.0,-4.21,0.0,0.142,0.0188,0.0,0.266,0.359,129.992,4.0,Party Rock Anthem,262173,2011-01-01,album,False
2011-07-23,1,0IkKz2J93C94Ei4BvDop7P,0.75,0.727,5.0,-4.21,0.0,0.142,0.0188,0.0,0.266,0.359,129.992,4.0,Party Rock Anthem,262173,2011-01-01,album,False
