year,Loudness (dB),Tempo (BPM),Duration (min)
2000,-7.0,117.0,4.15
2001,-6.0,116.0,4.05
2002,-6.0,118.0,4.04
2003,-6.0,116.0,4.07
2004,-6.0,120.0,3.99
2005,-6.0,121.0,3.92
2006,-6.0,122.0,3.88
2007,-6.0,123.0,3.96
2008,-6.0,125.0,3.92
2009,-6.0,126.0,3.89
2010,-6.0,123.0,3.85
2011,-5.0,126.0,3.84
2012,-6.0,125.0,3.83
2013,-6.0,124.0,3.9
2014,-6.0,122.0,3.81
2015,-6.0,123.0,3.67
2016,-6.0,122.0,3.65
2017,-6.0,122.0,3.59
2018,-6.0,120.0,3.48
2019,-6.0,120.0,3.27
2020,-6.0,122.0,3.21
2021,-6.0,122.0,3.28
2022,-6.0,124.0,3.25
2023,-7.0,126.0,3.26
2024,-6.0,125.0,3.27
